mes,regiao,modalidade,canal,unidade,matriculas,meta_matriculas,receita,custo_operacional,taxa_evasao,taxa_conclusao,satisfacao_media
Jan,Sudeste,Graduação,Online,Unidade Centro,44,46,39085.67,21837.65,0.0986,0.8215,8.07
Jan,Sudeste,Graduação,Presencial,Unidade Centro,48,54,41648.94,24042.84,0.0416,0.8599,8.16
Jan,Sudeste,Graduação,Híbrido,Unidade Sul,48,52,41255.54,22979.33,0.0406,0.9082,8.48
Jan,Sudeste,Pós-Graduação,Online,Unidade Centro,46,51,56774.17,36399.72,0.056,0.8683,7.88
Jan,Sudeste,Pós-Graduação,Presencial,Unidade Sul,45,48,51371.63,30033.61,0.1154,0.8064,7.83
Jan,Sudeste,Pós-Graduação,Híbrido,Unidade Norte,49,53,59446.78,39431.3,0.1067,0.8346,8.11
Jan,Sudeste,Cursos Livres,Online,Unidade Norte,46,51,19410.24,13280.95,0.0548,0.8467,9.4
Jan,Sudeste,Cursos Livres,Presencial,Unidade Sul,49,56,20223.02,13389.62,0.0856,0.8384,9.24
Jan,Sudeste,Cursos Livres,Híbrido,Unidade Sul,51,54,21113.17,11848.34,0.0625,0.8604,9.16
Jan,Sul,Graduação,Online,Unidade Sul,45,48,37847.92,25302.33,0.0635,0.8858,9.01
Jan,Sul,Graduação,Presencial,Unidade Sul,40,44,33518.78,18754.89,0.0493,0.8575,8.36
Jan,Sul,Graduação,Híbrido,Unidade Sul,49,54,42341.07,29459.09,0.0873,0.849,8.45
Jan,Sul,Pós-Graduação,Online,Unidade Centro,50,55,60367.66,33432.39,0.1017,0.8236,8.53
Jan,Sul,Pós-Graduação,Presencial,Unidade Sul,42,47,52394.65,33567.29,0.078,0.8438,8.04
Jan,Sul,Pós-Graduação,Híbrido,Unidade Centro,50,53,58372.79,39180.87,0.0462,0.8893,9.38
Jan,Sul,Cursos Livres,Online,Unidade Centro,41,46,17145.15,9743.81,0.0575,0.8717,8.35
Jan,Sul,Cursos Livres,Presencial,Unidade Sul,44,49,17759.38,9786.18,0.0582,0.8704,9.26
Jan,Sul,Cursos Livres,Híbrido,Unidade Centro,45,51,18374.78,11536.03,0.0496,0.8835,8.35
Jan,Nordeste,Graduação,Online,Unidade Centro,45,50,36585.71,20934.82,0.0603,0.8774,9.01
Jan,Nordeste,Graduação,Presencial,Unidade Centro,43,46,38292.03,24970.46,0.0729,0.8754,8.88
Jan,Nordeste,Graduação,Híbrido,Unidade Centro,46,51,40998.89,27027.8,0.0594,0.857,8.2
Jan,Nordeste,Pós-Graduação,Online,Unidade Centro,48,54,58369.13,33736.06,0.0829,0.8626,8.35
Jan,Nordeste,Pós-Graduação,Presencial,Unidade Centro,51,57,60134.87,33941.71,0.0576,0.8568,8.39
Jan,Nordeste,Pós-Graduação,Híbrido,Unidade Norte,49,53,58134.0,40037.12,0.1149,0.8282,7.99
Jan,Nordeste,Cursos Livres,Online,Unidade Norte,49,53,20021.36,14003.7,0.054,0.8469,8.24
Jan,Nordeste,Cursos Livres,Presencial,Unidade Norte,52,56,22714.51,15549.59,0.0906,0.8424,9.03
Jan,Nordeste,Cursos Livres,Híbrido,Unidade Norte,50,56,21298.27,11743.43,0.0467,0.8952,8.83
Fev,Sudeste,Graduação,Online,Unidade Centro,60,65,53415.69,37346.57,0.0627,0.872,8.56
Fev,Sudeste,Graduação,Presencial,Unidade Sul,45,50,38226.64,22791.07,0.0543,0.8774,9.03
Fev,Sudeste,Graduação,Híbrido,Unidade Norte,51,55,42332.15,27290.3,0.0595,0.8418,9.32
Fev,Sudeste,Pós-Graduação,Online,Unidade Centro,50,53,60870.62,38701.58,0.0935,0.8133,8.65
Fev,Sudeste,Pós-Graduação,Presencial,Unidade Centro,46,52,57929.92,40143.16,0.0776,0.8584,9.07
Fev,Sudeste,Pós-Graduação,Híbrido,Unidade Sul,52,56,65311.93,44259.97,0.1171,0.7902,8.45
Fev,Sudeste,Cursos Livres,Online,Unidade Norte,48,53,20274.51,13021.33,0.1149,0.8003,7.97
Fev,Sudeste,Cursos Livres,Presencial,Unidade Sul,51,57,20893.42,13713.12,0.0636,0.8703,8.03
Fev,Sudeste,Cursos Livres,Híbrido,Unidade Centro,50,57,21649.66,13535.96,0.1048,0.8018,8.67
Fev,Sul,Graduação,Online,Unidade Sul,48,54,39049.44,24867.84,0.0717,0.8758,7.85
Fev,Sul,Graduação,Presencial,Unidade Norte,56,63,46782.01,27486.19,0.0524,0.8485,9.26
Fev,Sul,Graduação,Híbrido,Unidade Norte,58,65,48610.74,31277.78,0.0502,0.8737,8.17
Fev,Sul,Pós-Graduação,Online,Unidade Norte,46,51,55373.08,34743.57,0.0833,0.8348,9.46
Fev,Sul,Pós-Graduação,Presencial,Unidade Sul,45,48,53453.63,30047.94,0.0747,0.8381,8.11
